Sentiment,Paraphrased_Text
Positive,"Despite the riskoff mood fading, theUSDJPY aims to regain 13700."
Positive,Morgan Stanley expects the terminal rate to be at 4.
Neutral,There is some consolidation within 1053010700.
Positive,There is a chance that the euro could stage a modest recovery in the coming weeks.
Negative,The British currency is seen below 11900 by UOB.
Neutral,Downside momentum looks mitigated.
Neutral,"Depending on the data in the second quarter, the EURUSD volatility is 105-110."
Negative,The peak eyes of the currency are 13600 mark.
Positive,The widening of the nominal rate differential favors an increase in the value of the euro.
Negative,"If core inflation eases next year, the euro is at risk of recording significant losses."
Positive,The GBPUSD is climbing back towards the 12000 mark.
Neutral,The test of 13790 seems to be losing traction.
Positive,The March rate hike will be followed by additional increases.
Neutral,The de Guindos interest rate path will be dependent on the data.
Positive,The final hike in March is probably Muller.
Negative,The strengthening trend of the Japanese currency will resume.
Neutral,The upside potential seems limited as the AUDUSD touches a fresh daily top.
Negative,There is a chance of further downside in AUDUSD and NZDUSD.
Positive,The area above 10600 is regained by the EURUSD.
Positive,The trend is going to be stronger later in the year.
Negative,The OCBC believes that a break below 11920 could fuel more downward pressure.
Neutral,There is a chance that the range of trading around the 120 point may develop.
Neutral,The key to bulls is the gains around 12000 mark.
Negative,There might be more downward pressure under 10580.
Negative,The daily low of theUSD is around 13600.
Neutral,How could the US ISM Services PMI affect the euro?
Positive,Bulls need to clear the 55day SMA.
Positive,The EURUSD has a potential upside of 112 and 116 by the end of the year.
Neutral,The US data was virtually flat for the week.
Neutral,"For the week, traders are eyeing Fed speeches."
Positive,The 200 hour MA is held for the 3rd time in 6 days.
Negative,"On softUSD, the price analysis retraces toward 13600."
Positive,The Dollar has a positive streak ahead of the NFP week.
Positive,The US dollar extends weekly losses late on Friday.
Positive,The US Dollar was a factor in the regaining of 10600.
Negative,The ISM data caused the AUDUSD to dip below the 100 hour MA.
Positive,It gives us a lot of risk events this week.
Neutral,Bulls eye a test of bears commitments near 10700.
Positive,A 50 bps rate hike is increasingly certain because of the high Lagarde Eurozone inflation.
Neutral,The cable is going towards resistance near 12000.
Negative,Bears are in charge of the price.
Negative,The Pullback from 50EMA highlights support.
Neutral,China's annual growth target is 5.
Positive,"Ahead of Eurozone Retail Sales focus on Fed Chair Powell, the EURUSD grinds higher."
Negative,The British pound was offered below 12050 as optimism fades.
Negative,The Fed's Powell and BoJ's Kuroda are in the spotlight.
Neutral,The economy of China is steadily improving.
Neutral,The AUDUSD is looking to regain 6000 amid mixed China news.
Neutral,The sluggish start to the key week is being probed by the 100SMA.
Neutral,The range holds steady above the 12000 mark.
Neutral,"Near term, the EURUSD faces further consolidation."
Neutral,The UOB predicts that the pound will trade within 1192512120.
Negative,The interest rates have risen too fast.
Positive,The Weak phase over for the AUDUSD.
Neutral,The softerUSD downside seems limited asUSDJPY trades with modest losses.
Neutral,The AUDUSD is in a familiar trading range.
Neutral,The downside risk for AUD is a dialdown of the rhetoric.
Neutral,The euro probably ends in March.
Neutral,UOB says that theUSDJPY faces some range bound trading.
Neutral,There is a support for the EURUSD at 10580.
Positive,The bounce to the 10660 region is offered by the EURUSD.
Negative,The investor confidence index in the Eurozone worsened in March.
Negative,Retail sales in the Eurozone fell in February.
Negative,A potential descending triangle could be forming.
Neutral,Moderately positive mediumterm not optimistic longterm.
Neutral,It is hard to find a catalyst for a break out of recent ranges in the UK this week.
Positive,9 major banks are hiking for the fifth time.
Negative,The scope of the Upside is diminishing.
Negative,The January low of the euro is crucial.
Neutral,Gains are capped by the 55day SMA.
Neutral,The December peak of 13770 is needed to affirm a larger rebound.
Negative,A less hawkish message could weigh on the Aussie.
Neutral,The currency is above and below the 200 hour MA.
Neutral,The upside has some work to do.
Negative,There is a scope for dips below the 106 level into the middle of the year.
Positive,The Euro could appreciate in the second half of the year.
Negative,The bears are eyeing 12000 below the 100DMA.
Neutral,There are three scenarios and their implications for AUDUSD.
Positive,The firm is above last week's highs.
Neutral,The 100 day MA is pushed by the GBPUSD.
Positive,The high from last week is being tested by the currency.
Negative,The late US Dollar comeback and central bank divergence themes are putting pressure on the British currency.
Neutral,Markets are choppy as Powell takes center stage.
Neutral,Rate decision plays a role in AUDUSD levels.
Positive,The Reserve Bank of Australia looks to stretch rates further.
Positive,Bulls travel through a bumpy road.
Neutral,The riskon mood is reflected in the price analysis of the euro.
Neutral,"Ahead of Powell's speech, the dollar fluctuates at around 13590s."
Neutral,The Aussie trade balance leaves the AUDUSD unchanged.
Neutral,"On mixed Australia trade numbers, the AUDUSD grinds past 6000."
Negative,The Fed Chair Powell's Testimony looms over the EURUSD.
Neutral,Fed Powell's testimony hogged the spotlight as the GBPUSD fluctuated in a range above 12000.
Neutral,Analysts think there is a chance of a China RRR cut.
Neutral,Recovery from the 13650 hurdle is needed for the price analysis.
Neutral,China is against all forms of cold war mentality.
Positive,The relationship with China has improved.
Neutral,The rate of hikes by theRBA is expected to be 25 bps in March.
Negative,"Even as the Reserve Bank of Australia lifts interest rates, the AUDUSD plummets towards 06700."
Neutral,The indicator suggests that inflation has peaked in Australia.
Neutral,China's JanuaryFebruary Trade Balance Surplus balloons as imports plummet.
Neutral,"Ahead of Fed Powell's testimony and US employment, the EURUSD looks set to test 10700."
Positive,Bulls keep the reins near 12050.
Negative,AUDUSD Price Analysis shows a steep decline below 06700.
Neutral,The dollar is hovering around 13600 as investors watch Fed Powell testify.
Positive,The door is likely to be open for a move to 10750.
Negative,"Near term, the GBPUSD faces further consolidation."
Neutral,The lower end of the range is where the EURUSD might go.
Neutral,The UOB says that theUSDJPY now points to further range bound.
Negative,"Ahead of Powell's testimony, the British currency surrenders modest gains."
Negative,The statement from the Reserve Bank of Australia is not restrictive enough for the market.
Neutral,The core inflation in Spain will stay high in the short term.
Negative,"Ahead of Powell's testimony, the AUDUSD is at a fresh low."
Negative,It's too early for a sustainable jump above parity.
Positive,I think more needs to be done with rates.
Negative,Near 10660 looks at Powell.
Neutral,The battle between EUR andUSD is not decided.
Neutral,"Ahead of Feds Powell, theUSDJPY is stuck in a range around 13600."
Negative,The dovish RBA hike frustrates the AUD bulls.
Negative,"If Powell and the US NFP cause fresh Dollar buying this week, the British currency is under threat."
Negative,"Ahead of Fed's Powell, there is modestUSD strength."
Neutral,It is possible that theUSDJPY could hang around 135137 through March.
Negative,A break below 0984009830 will cause a drop in theEURCHF.
Negative,AfterRBA losses plummet to a new low ahead of Fed's Powell.
Negative,ING predicts that the pound will stay soft through March and return to 123125 in the summer.
Positive,The 10700 region is where the bulls need to clear.
Neutral,"By the end of the year, the AUDUSD will be back to 070."
Positive,"On Powell's speech, theUSDJPY soared towards 13680s."
Negative,DXY jumps on Fed Powell's comments.
Negative,The currency corrects to the 200 hour MA.
Negative,Federal Reserve Chair Powell made comments that caused the pound to plunge below 11900.
Negative,Bears move in towards the target area.
Positive,It is expected that the rates will be raised after March.
Negative,The US trade bears are hungry for more.
Negative,The run continues lower.
Negative,Dollar bulls are happy with Powell's volatility.
Positive,The bulls eye a break of 200 and eye 13820s.
Neutral,Lowe Closer to Pausing Rate Hikes.
Negative,The AUDUSD is at a fourmonth low.
Negative,Bears are attacking two month old support near 10540.
Positive,Lowe China reopening is positive for our economy.
Negative,The double top breakdown looks like it will happen.
Positive,The US Job data and BoJ policy are in focus.
Negative,Bears appear well set to approach the support.
Negative,The Fed's Powell endorsed more rates.
Neutral,There are chatters of a 35month low for the pound.
Neutral,BoJ will be buying bonds on Wednesday.
Positive,The price analysis shows bulls at a three month high.
Negative,The AUDUSD is looking more downside on the comments from Lowe.
Negative,There are fears of bigger rates from the Fed.
Negative,The AUDUSD is moving away from the 50% midpoint.
Neutral,Economists say that the BoJ will end YCC in 2023.
Negative,The Fed's Powell widens the yield curve as the euro dips.
Positive,The price analysis bounced off the 13 day old support line.
Negative,It is possible that the EURUSD could slip back below 10500.
Negative,Retail sales in Germany fell 69 percent in January.
Positive,German Industrial Production jumped 35 MoM in January.
Negative,The next support for the British pound is 11750.
Positive,TheUSDJPY is near its highest level since mid-December.
Negative,The US Dollar is at multimonth highs ahead of US data.
Negative,"Near term, the AUDUSD risks further downside."
Negative,The euro is limited on the upside.
Positive,The 13820 region is now on the horizon.
Negative,"Near the low of the year, the GBPUSD is vulnerable."
Negative,The buyers of the AUDUSD failed.
Negative,"By the end of the first quarter, the AUDUSD will have extended its slide."
Neutral,The Visco Monetary policy needs to remain prudent.
Positive,It can be broken today or tomorrow.
Neutral,BoEs have a material risk at this point.
Negative,The EURUSD bounces off 2month lows.
Neutral,The upside potential of the AUDUSD seems limited.
Negative,The immediate rate outlook seems to offer furtherUSD potential.
Negative,The target for the double top pattern is near 11230.
Negative,The cross is expected to be 125 in three months.
Negative,It is necessary to hold key support to avoid a top.
Neutral,How could the US employment report affect the euro?
Negative,The weekly close below the January low is a sign of a deeper selloff.
Negative,AUDUSD Weekly close below key levels to open up a much deeper move lower.
Neutral,"Despite an upbeat USADP report holding above 13700 mark, theUSDJPY flirts with a daily low."
Negative,Further losses could retest the low.
Negative,"If the Fed delivers a 50 bps hike this month, the euro could fall to 105."
Negative,TheUSDJPY is moving towards the cluster of MAs.
Negative,"After printing a low around 11800, the GBPUSD is subdued."
Neutral,Key US data hangs in the balance.
Neutral,The currency is close to the 200DMA at 10536.
Negative,Bears eye a break.
Neutral,The Dollar firmed after Powell.
Negative,"Ahead of China inflation, the AUDUSD is near a multiday low."
Neutral,There is a support structure in the way of a full blown break.
Negative,The riskoff mood rebounded amid the tight US labor market.
Neutral,The outlook for the UK is still weak.
Neutral,The finance ministry of Britain will review the stock market listings.
Neutral,The Japanese GDP Q4 was exp 08.
Negative,"After Japan GDP, theUSDJPY is testing 13700."
Negative,The euro stays near 10550 as the Fed policymakers repeat their guidance.
Negative,The US labor market is solidifying further China.
Neutral,Between 200 and 100 day MAs and 100 and 200 hour MAs are used.
Negative,A bullish spinning top near a multiday low is not justified in the price analysis.
Neutral,China's inflation rate was at 10 vs 19 expected.
Negative,The AUDUSD is supported by the US President Biden's tax proposal.
Positive,The front side of the bull trend has bulls testing the 200DMA.
Neutral,The Doji candlestick bears around 10500.
Negative,"As the focus shifts to the US NFP, the downside looks favored."
Negative,Absence of recovery signals favors more downside for AUDUSD.
Neutral,"As the USNFP hogs the spotlight, the EURUSD seems likely to extend its recovery above 10500."
Negative,Growing optimism in Europe is unlikely to benefit the EURCHF.
Negative,The euro is at risk of a gradual decline.
Negative,The euro is not trading at stronger levels due to the long hesitation of the euro zone central bank.
Negative,The next support is around 11750.
Negative,There is no support for the Aussie in the near term.
Neutral,"Despite softerUSD lacks bullish conviction, the GBPUSD is holding on to modest gains."
Neutral,"For the time being, the EURUSD will be in a range of 10100000."
Positive,We will bring inflation back to 2 by the end of the century.
Positive,The potential visit to 13820 is now being looked at by theUSDJPY.
Negative,TheUSD holds above 13600 mark as theUSD retreats further from YTD top.
Neutral,It looks like the direction of travel for the GBPUSD 11650.
Positive,The euro bounces off 2month lows.
Neutral,The upside potential of the AUDUSD seems limited.
Neutral,Danske Bank says the SNB should prevent a move above 100.
Neutral,The next catalyst is likely to come from the US side of the equation.
Negative,The direction of travel is going back towards the 0980009825 area.
Negative,The range for the EURUSD is 1052010580.
Negative,The US Dollar will thrive as rates stay high.
Negative,The focus of the price analysis will shift to BoJ on Friday.
Negative,There will be extra weakness near term.
Neutral,The BoJ expects no change at the final meeting.
Negative,The 100 hour moving average looks like it will fall.
Neutral,The MA cluster is retests.
Negative,The GBPUSD rebounded off the lows of the year at 11800s.
Positive,The euro pushed against swing area resistance.
Neutral,The clock is counting down to critical events.
Negative,Bears are on the prowl below key resistance.
Neutral,The Dollar is mixed with all eyes on the NFP.
Negative,The Fed's rate hike has investors worried about the BoJ policy.
Negative,"As the US NFP looms, the AUDUSD is fragile."
Positive,"Ahead of the UK data dump, the pound is higher."
Negative,There is a lack of strength in the recovery near 10600.
Neutral,Japan's finance minister expects the BoJ to work with the government.
Negative,"Ahead of the US NFP, the AUDUSD Price Analysis looks set for a breakdown."
Neutral,The bulls poked 10600 as mixed US data test Fed hawks.
Negative,Bears are moving ahead of BoJ.
Neutral,The Fed bets on UK data are ignored by investors.
Neutral,The next Bank of Japan governor was approved by Ueda.
Neutral,How could the BoJ rate decision affect the dollar?
Neutral,BoJ keeps monetary and yield control policies the same.
Positive,"As inflation stays sticky, the deposit rate of the European Central Bank is expected to peak at 375 or higher."
Neutral,BoJ inflation expectations are increasing.
Neutral,BoJ status quote of Kuroda's farewell eyed marks 100pip whipsaw.
Neutral,Bulls need US NFP to keep control of the price.
Negative,The AUDUSD has been at a fourmonth low.
Neutral,The price analysis shows that the downside seems favored.
Positive,"As BoJ continues ultra loose policy, the price of the currency is likely to go up."
Neutral,How could the UK data releases affect the currency?
Neutral,BoJ will not hesitate to ease monetary policy further.
Positive,BoJ had positive effects of monetary easing.
Positive,The UK GDP is expected to grow in January.
Negative,UK manufacturing production declined in January.
Positive,The British pound climbs to a three day top on better than expected UK GDP.
Negative,The euro is still seen grinding lower.
Positive,AUDUSD climbs back to its lowest point of the year amid weakerUSD.
Neutral,Too much weakness in the Japanese currency would not be justified.
Negative,Further weakness emerges below 11950.
Positive,"On the soft NFP report, the euro will surge towards 107."
Negative,The AUDUSD is facing a major support.
Negative,BoE monetary policy is putting pressure on sterling.
Neutral,UOB believes that theUSDJPY seems to have moved into a consolidative theme.
Positive,"Ahead of the US payrolls, the EURUSD is flirting with 3 day highs."
Neutral,"Ahead of the US NFP report, the BoJ inspired gains remain below 13700."
Positive,The US NFP report is the focus of the price analysis.
Positive,A strong bout of US data could reopen a move to 140.
Negative,The charts are showing renewed weakness for the EURUSD.
Positive,The rebound should be enhanced by a sustained push back above 100DMA.
Positive,There are fresh tops near 10 630.
Positive,There are mixed US jobs data.
Negative,The dollar fell to a daily low after the NFP.
Positive,The postNFPUSD selloff lacks followthrough.
Negative,There is a chance that a bigger retracement is on the horizon.
Neutral,The 100 hour MA is where the AUDUSD runs.
Positive,The euro will rise to 112 by the mid 20th century.
Positive,The euro trades to a new high.
Positive,"In the second half of 2023, the AUDUSD will climb back to 070."
Neutral,"On a threemonth view, theUSDCHF is expected to reach 095."
Positive,The US dollar is falling further.
Neutral,The swing area target for theUSDJPY is between 134.06 and 134.15.
Neutral,The price analysis climbs on the weakness of the dollar.
Neutral,The DXY ended the week flat after Powell and NFP.
Positive,TheUSD sinks after the US NFP as the EURUSD climbs on high inflation data in Germany.
Neutral,The bears are held hostage by the H1 Mformation.
Positive,The US Dollar gets shunned in the open.
Positive,The AUDUSD is moving towards the 6000 mark as fears of Aussie employment fade.
Positive,Bulls attack 200SMA as the riskon mood begins.
Positive,The bears are in the market.
Positive,The BoJ Minutes are eyed and the recovery in yields to bounce off a onemonth low.
Neutral,Bulls meet resistance near the channel.
Positive,Matsuno sees a big impact on Japanese financial companies.
Neutral,China's President is against interference of external forces in Taiwan.
Positive,The Fed's bets to cross 10700 US inflation are easing.
Positive,The key week begins as cable bulls push 50DMA hurdle above 12100.
Negative,The Yen is one month low as bears approach 50DMA.
Positive,The AUDUSD has surged the most in nine weeks.
Positive,The bulls are flirting with 10730 resistance.
Neutral,Nearterm consolidation is what the EURUSD now faces.
Neutral,"For the time being, the outlook for the pound remains mixed."
Negative,Dwindling bets for a drop in the AUDUSD.
Positive,TheUSDJPY faces strong support.
Positive,The race is going to extend higher toward the 1078010800 area.
Neutral,Not chasing Cable over 122.
Positive,The sharp bounce is extended by the EURUSD.
Negative,The US yield curve is sending the Dollar lower.
Positive,The apparent failure of Fed monetary policy will benefit the euro.
Positive,The AUD and CAD will consolidate over the next few months.
Positive,The strengthening trend is firmly in place ahead of the policy meeting.
Negative,The price action for the Pound looks weak.
Negative,The bearish sentiment for the dollar caused theUSD to plunge to 13350.
Neutral,The AUDUSD is testing the 200 hour MA again.
Neutral,What are the technical levels for the three currency pairs?
Negative,"On a break under 10635, the losses may extend a little more."
Positive,Bulls are looking at 10800 and beyond.
Positive,The euro moves back into the swing area.
Neutral,The euro is in a sideways movement.
Positive,The British currency rises to onemonth highs above 12150.
Positive,The GBPUSD extends above recent swing highs as it moves to new session highs.
Negative,NZD andAUD will be the biggest winners of a 1990sstyle mild recession.
Positive,The AUDUSD soars amid the collapse of the bank.
Positive,The ECB plans to hike by 50 bps.
Neutral,The 4-hour chart shows theUSDJPY moving towards 200 bar MA.
Positive,The bears are about to open the gates of the cage.
Negative,Bears seek a break of structure while the price slows.
Negative,There is a correction ahead of US inflation.
Positive,The Fed bets above 10700 are seen as a sign of US inflation.
Positive,"Ahead of UK employment, the pound is near a onemonth high."
Positive,"Ahead of the budget, the Chancellor sets out English investment zones."
Neutral,The market prepares for the US consumer price index.
Negative,The Fed is likely to continue with its soft rate hike.
Positive,Bulls are about to show their commitment.
Negative,Markets are paring their moves ahead of US inflation.
Positive,Bulls lead the pair above the 10700 mark.
Neutral,Japan's Suzuki is watching how the SVB case may affect the economy.
Positive,"Ahead of US inflation data, theUSDJPY tracks a bounce in yields."
Negative,"Ahead of UK Employment and US Inflation, the GBPUSD is down."
Neutral,The pair was able to rebound from the descending trend line.
Neutral,The Fed is trying to avoid bigger rate hikes.
Neutral,How could the UK jobs affect the currency?
Positive,"Ahead of the USCPI, theUSDJPY is on a rebound."
Positive,The gains are likely to be sustained above 12440.
Neutral,The ILO Unemployment Rate in the UK was 37 in January.
Negative,The UK jobs data remains below the 12200 mark.
Neutral,Stournaras doesn't see any impact from the collapse of SVB.
Neutral,The size of the rally depends on the Feds reaction.
Negative,The AUDUSD is flatlines amid a positive risk tone.
Negative,The risks of another leg lower.
Negative,The euro comes under pressure and pierces 10700.
Positive,"As long as there are no effects on the European banking sector, the euro should be supported by the ECB."
Negative,There are risks to the near term for theUSDJPY.
Neutral,The focus remains on the US inflation report.
Positive,"Even if the BoE holds, the January 12450 highs will be tested."
Positive,"Ahead of Tuesday's USCPI and BoJ's minutes, theUSDJPY rebounded from 13dhgate."
Positive,The technical condition of the British pound looks strong.
Neutral,The break above 55DMA boosted the nearterm outlook.
Positive,The upside is near 10750.
Neutral,"There is no firm direction for the AUDUSD, which is in a range below 06700."
Negative,The AUDUSD 200DMA is likely to cap upside.
Positive,The US consumer price index was fueled by Treasury yields.
Neutral,The rebound could remain contained.
Positive,The price analysis shows that the upside still looks good.
Neutral,AUDUSD sets ceiling and floor levels in trading.
Neutral,The anticipated US inflation data has the British currency trading around 12164.
Positive,The euro could get close to early February highs on a press conference.
Negative,The pops of theUSDCHF andUSDJPY will inevitably fade.
Negative,The price of the currency is just below Tuesday's open price.
Neutral,There are mixed Fed bets near 06700.
Neutral,The currency consolidates at highs.
Neutral,"Ahead of the UK budget, the bulls meet resistance near 122."
Positive,Bullish correction in fullflight 135 s eyed.
Positive,Concerns for bigger Fed rate hikes are fading.
Neutral,UK Chancellor Hunt is focused on growth in the British budget.
Positive,Bulls find comfort above the 10700 level.
Negative,There is a chance of a 12135 break and the UK Budget.
Neutral,BoJ Minutes Members agreed that the economy of Japan will recover.
Positive,"On dovish BoJ minutes, the spotlight shifts to US retail sales."
Negative,The resistance for the AUDUSD is six weeks old.
Neutral,US retail sales loom as the UK budget looms.
Neutral,Retail sales jump 35 in China.
Positive,"Despite mixed China data, the AUDUSD looks set to regain its value."
Negative,The EURUSD bulls are tired.
Neutral,China's economic operations are stabilizing.
Positive,Suzuki wants the government to achieve a higher pace of wage rises than inflation.
Negative,The price analysis justifies the bear cross with losses.
Neutral,There was debate about impact on global markets.
Neutral,"Following the SNB meeting, the currency will trade in a range."
Negative,A move all the way to the 09411 lows is on the cards.
Positive,The Double Bottom reversal is happening as Credit Suisse's fiasco continues.
Negative,The area where the AUDUSD falls is 100 hour MA.
Negative,Early US trading has theUSDJPY at a new session low.
Positive,The pair rebounded from 21DMA amid subdued US Dollar demand.
Positive,Riskon mood strengthens as AUDUSD Price Analysis is far from weekly high.
Positive,"Ahead of UK consumer inflation expectations, the bears poke 12150."
Neutral,BoJ could possibly lower the shortterm interest rate.
Neutral,The consolidative mood is keeping the GBPUSD in check.
Neutral,AUDUSD is still seen by UOB.
Positive,The room for gains in the AUDUSD should be stable.
Neutral,The BoJ must respond to market moves.
Positive,The AUDUSD is near a two week high.
Neutral,The Reserve Requirement Ratio has been cut by PBOC.
Neutral,BoE Survey UK public inflation expectations fell to 39 in February.
Positive,Franc has limited depreciation potential.
Neutral,There is a part of the gains that holds comfortably above 12100.
Negative,"Near term, there is a room for further losses."
Negative,The dollar keeps the red above 13300 amid banking crisis fears.
Neutral,The 100 hour MA is retests the 200 hour MA.
Negative,The AUDUSD retreated from a two week high.
Negative,The US yields slide as theUSDJPY tumbles.
Positive,The British currency is on track to post weekly gains.
Neutral,The falling 100 hour MA is a key target.
Negative,"Ahead of the Fed SNB BoE and PMIs, the Yen gains in rough waters."
Negative,TheUSDJPY is close to the low from yesterday.
Neutral,"After the 50 bp hike, the EURUSD trades between targets."
Neutral,The AUDUSD is higher on the day.
Positive,The 100 hour moving average is where the buyers are making a play.
Neutral,The currency is mired in an up and down day.
Negative,The euro moves lower on banking concerns.
Positive,"For the week, the euro extended higher."
Positive,Bulls eye a break into the 067s.
Positive,The pound pops in the open to test 12200.
Positive,The Kent Australian banks are strong.
Positive,Credit Suisse news comments from the Kent Fed made the AUDUSD higher.
Neutral,There was a joint effort from the global central banks.
Neutral,The board sees the need to keep easy policy.
Positive,There is a risk of mood solidifying on the Credit Suisse deal.
Positive,Bulls are making their case for 06750.
Neutral,The 1year loan prime rate has been set by the People's Bank of China.
Positive,The BoJ defends easy policy and the central banks look for more money.
Neutral,The financial system of Japan's Matsuno Country is stable.
Neutral,Bulls step back from a hurdle.
Negative,Early Asian gains were retraced by the AUDUSD.
Negative,The price analysis looks like it will fall below 13150.
Negative,The investors are anxious ahead of the FedBoE policy.
Neutral,Markets are cautious to start the week.
Positive,The Franc will weaken against the Euro.
Negative,Danske Bank predicts that the euro will head lower in the coming months.
Negative,Danske Bank predicts that the AUDUSD will remain below the 069 mark over the next few months.
Positive,"If the baseline holds up, the ECB isn't done on rate hikes."
Neutral,The consolidative phase is in place.
Negative,Danske Bank predicts that the dollar will plummet towards the 125 level.
Positive,There are further gains in the works.
Negative,"Ahead of Lagarde, the euro falls near the 10700 region."
Positive,Further upside now targets the UOB.
Positive,There is some support for theUSDJPY near mid 13000s.
Negative,Monetary policy is still a burdening factor.
Positive,The GBPUSD is just below a multiweek high.
Negative,The dollar could start to lose value towards the end of the week.
Negative,The Danske Bank predicts that the euro will move slightly lower on the back of tighter financial conditions.
Negative,The German economy will contract in the first quarter.
Negative,The AUDUSD is depressed and selling some support.
Positive,The British pound looks to have a good chance of holding and extending gains.
Negative,Further losses are seen below 13150.
Positive,Extra gains could see 10760 retested.
Positive,There is notableUSD weakness and the GBPUSD rallies to over onemonth peak.
Positive,"If the Fed blinks on Wednesday, the euro will rally."
Positive,A large part of the early lost ground has been recovered.
Negative,A 50 bps hike by the Fed would be bullish for the Dollar.
Positive,Inflation is projected to stay high for a long time.
Positive,The euro climbs to multiday highs.
Neutral,"The resilience of the British pound could be tested, but the fundamentals are better than they were."
Neutral,Lagarde speech without tensions would have indicated that more hikes were needed.
Positive,Sentiment improvement is eyed by Lagarde.
Positive,The currency moved to a new session high above the swing area.
Neutral,Lagarde said that Eurozone banks have exposure to Credit Suisse.
Neutral,The AUDUSD is on a riskon mood.
Positive,Bulls move towards a bear.
Neutral,The Fed takes center stage.
Neutral,The uncertainty for Fed policy deepens as the EURUSD juggles above 10700 upside.
Positive,The AUDUSD is near a two week high.
Neutral,The focus has shifted to the upcoming meeting of the Fed.
Positive,We are concerned with fighting inflation.
Positive,The pair is supported by higher yields and moves back to the upside.
Positive,The British pound trades at the highest level in over a month.
Positive,The GBPUSD has new highs.
Negative,The BoE response to the banking crisis and uncertainty about the UK's departure from the EU caused the upside to stall.
Neutral,How might the minutes affect the AUDUSD?
Positive,The AUDUSD extends above an old swing area after bouncing off its 100 hour moving average.
Positive,Monetary policy tightening is expected to bring inflation down.
Negative,Bears eye a break.
Negative,"On lesshawkish minutes, the AUDUSD drops."
Neutral,The pair revisits a descending trendline before the meeting.
Negative,Bears step in to test bulls.
Negative,The AUDUSD Price Analysis has been on a three day uptrend.
Neutral,"As investors prepare for the Fed policy, the EURUSD is still above 10700."
Neutral,The market is waiting for the Fed's next move.
Negative,TheUSD index attempts to recover Fed policy buzz.
Positive,Credit Suisse's debacle continues to weigh on Swiss Franc.
Neutral,Uncertainty in financial markets is high but EU banks are well capitalized.
Negative,The minutes of the RBA are less hawkish than the Fed.
Neutral,Bulls take a break but 10660 holds the gate for sellers.
Negative,Market expectations of a 325 rate peak cannot be verified.
Neutral,The EURUSD is now seen navigating.
Positive,The weekly resistance line is expected to rebound from a five week low.
Neutral,The British pound now looks at 12400.
Neutral,The next support of note is 12980.
Positive,Restoring some calm to the AT1 bond market is a necessary condition to keep Euro supported.
Negative,Morgan Stanley thinks the risks are skewed to the downside.
Negative,GBPUSD slides from multiweek highs amid modestUSD strength.
Positive,The March top is the target of the uptrend.
Neutral,Positive risk tone upside seems limited as theUSDJPY climbs to 13230 area.
Negative,The German ZEW Economic Sentiment Index fell to 130 in March.
Negative,The losses are well offered below the mark.
Positive,There is a chance for more gains towards the 125 area.
Positive,It's essential that the EURUSD Overcoming108 is not a Head and Shoulders.
Positive,The way toward December peak is clear with a break above 1227012300.
Neutral,Failure to cross the resistance zone would mean continued consolidation.
Negative,A 50 bps increase by the Fed and upward revision of the dots will smother the bullish argument.
Neutral,The price analysis keeps the currency in the red.
Neutral,The AUDUSD is in a consolidation pattern.
Neutral,There is a risk of mood with the 50 Fibo level below.
Positive,Next on the upside is the10804 level.
Neutral,There are key levels amid resistance and rising yields.
Positive,"The Bullishness of the currency continues, even after it bounced off a high yesterday."
Neutral,Analyzing factors and future scenarios is how the key support level is approaching.
Positive,The US Dollar is soft on the riskon mood.
Positive,Bulls are in the market looking for a bullish extension.
Positive,The bulls are trying to test key resistance near 13260.
Negative,Market sentiment improves ahead of the Fed.
Neutral,The AUDUSD is struggling to surpass 06670 as investors worry about Fed policy.
Neutral,Bears are welcomed above 12200 UK inflation vote and Fed eyed.
Positive,The Fed prepares to hike despite banking turmoil.
Neutral,The market eagerly awaits the Fed's decision.
Positive,Matsuno will allocate more than 2 trillion dollars to cushion the blow of rising prices.
Negative,The price analysis dropped back below 200EMA.
Neutral,The financial system of Japan is stable.
Positive,The pair is above the 12200 mark.
Negative,The EURUSD depicts preFed anxiety.
Neutral,Bulls and bears are fighting out ahead of the Fed.
Neutral,Japan's economy minister has reserves to fund price covid measures.
Positive,Bulls attack 50DMA resistance.
Neutral,Japan's Suzuki is important for foreign exchange to move stably.
Neutral,"As anticipation mounts for the Fed decision, the AUDUSD fell under the 6000 mark."
Neutral,The monthly triangle teases traders near 10780.
Neutral,The market is bracing for Fed action.
Neutral,There is still some way to go.
Neutral,How could the UK inflation data affect the pound?
Positive,The US Dollar is weighed down by yields ahead of the Fed.
Neutral,The UK's inflation jumped to 104 in February from 98 expected.
Positive,The gains are likely to be sustained above 10800.
Positive,The British pound jumped back above mid 12200s eyes after a strong UK inflation print.
Neutral,Diminishing bets for a move to 12400.
Neutral,Further upside loses traction.
Neutral,It seems that theUSDJPY has moved into a consolidation phase.
Neutral,The dollar is close to a weekly high ahead of the Fed.
Neutral,The Lagarde speech didn't commit to raise further or stop hiking rates.
Positive,"As long as sentiment remains stable, there is a chance for a break above 10800."
Positive,"Ahead of the Fed, the euro flirts with 10800."
Positive,The price analysis builds on the UK rally.
Negative,"If the BoE stands pat, sterling will suffer."
Positive,The rally should gain more strength if the EURUSD breaks above 1086.
Positive,The AUDUSD is in the middle of gains as traders await the decision from the Fed.
Positive,There is a possibility of a move on to 128130 range for the clear move above 12380.
